cust_id,company1,city,type
BBVE,BRENTWOOD BAY VILLAGE EMPOURIUM,BRENTWOOD BAY,TOWN
BRENCO,BRENTWOOD COLLEGE,MILL BAY,UPISLAND
BRENTWRO,BRENTWOOD ROTARY CLUB,BRENTWOOD BAY,TOWN
BRENSC,BRENTWOOD SCOUTS,,LOOKUP
BREWS,BREWSKY'S TAPHOUSE,BRENTWOOD BAY,TOWN
BRIMAN,BRIDGEMAN'S BISTRO,MILL BAY,UPISLAND
BRITBO,BRITISH BOBBY RESTAURANT - new owners,PARKSVILLE,UPISLAND
BROADM,BROADMEAD LODGE (CPS) 08107 7278,VICTORIA,TOWN
BROOKES,BROOKES WESTSHORE dba,COLWOOD,TOWN
BROUST,BROUGHTON ST. DELI,VICTORIA,TOWN
BROWNS,BROWNS SOCIAL HOUSE,VICTORIA,TOWN
BRUCE,BRUCE'S MEATING PLACE,FANNY BAY,FREIGHT
BUDDIE,BUDDIES NATURAL PET FOODS LTD.,DUNCAN,UPISLAND
BUDCAN,BUDS CANNABIS dba,VICTORIA,TOWN
BUFFY'S,BUFFY'S PUB,SOOKE,TOWN
BUNNYS,BUNNY'S KITCHEN dba,VICTORIA,TOWN
BURFUND,BURKE  FUNDRAISERS,Duncan,UPISLAND
BURKES,BURKE'S CASH SALES,,LOOKUP
BURPRO,BURKE'S PROMO ACCOUNT,,LOOKUP
BUTCHA,BUTCHART GARDENS,BRENTWOOD BAY,TOWN
BUTCHER,BUTCHER BLOCK,COURTENAY,FREIGHT
BUZZY'S,BUZZY'S LUNCHEONETTE,SALTSPRING ISLAND,UPISLAND
BYRNES,BYRNES PERKINS & COEY,VICTORIA,TOWN
BYRONFO,BYRON'S FOOD MARKET dba,LADYSMITH,UPISLAND
COWVAI,C.V. STATION PUB & CHOICES REST. dba,DUNCAN,UPISLAND
C2CSEA,C2C PREMIUM SEAFOOD,RICHMOND,VAN
CAFMEX,CAFE MEXICO LTD,VICTORIA,TOWN
