cust_id,company1,city,type
FOODFOR,FOOD FOR THOUGHT -CATERING,VICTORIA,TOWN
FOODF1,FOOD FORUM #1,VICTORIA,TOWN
FOURMI,FOUR MILE HOUSE,VICTORIA,TOWN
FOURP,FOUR POINTS by SHERATON VICTORIA,VICTORIA,TOWN
FOURQU,FOUR QUARTERS MEATS INC.,VICTORIA,TOWN
FRANKIE,FRANKIE'S MODERN DINER,VICTORIA,TOWN
FRANKRES,FRANKIE'S RESTO-BAR,UCLUELET,FREIGHT
FRASER,FRASER ORR BUTCHER dba,VICTORIA,TOWN
FREDDI,FREDDIE'S PUB / HARVEST RESTAURANT,CAMPBELL RIVER,FREIGHT
FREEBE,FREE BEETS HEALTHY MEAL,VICTORIA,TOWN
FCBISTRO,FRENCH CREEK BISTRO REST. & GRILL dba,PARKSVILLE,UPISLAND
FRENCRK,FRENCH CREEK HOUSE LTD.,PARKSVILLE,UPISLAND
FRESHC,FRESHCOAST HEALTH FOOD BAR,VICTORIA,TOWN
FRIENDS,FRIENDSHIP COMMUNITY CHURCH,BRENTWOOD BAY,TOWN
FRIESE,FRIESEN'S FRESH MEATS,HONEYMOON BAY,UPISLAND
FUDOJA,FUDO JAPANESE RESTAURANT dba,VICTORIA,TOWN
FUTAB,FUTABA JAPANESE RESTAURANT dba,VICTORIA,TOWN
FWENTER,FW ENTERPRISES LTD,NANOOSE BAY,UPISLAND
GTBLACK,G.T BLACK FOOD SERV./dba DUNCAN BUTCHER,DUNCAN,UPISLAND
GABCAF,GABRIEL'S CAFE dba,NANAIMO,UPISLAND
GALA,GAIA GROCERY dba,TOFINO,FREIGHT
GALLOP,GALLOPING GOOSE,METCHOSIN,TOWN
GARDENS,GARDENS AT QUALICUM BEACH (SGP)51298,QUALICUM BEACH,FREIGHT
GARYKI,GARY KITCHEN,TOFINO,FREIGHT
GARY'SBI,GARY'S BISTRO dba,QUALICUM BEACH,FREIGHT
GENKIS,GENKI SUSHI  dba,POWELL RIVER,FREIGHT
GENCAF,GENOA BAY CAFE LTD dba,DUNCAN,UPISLAND
GEORGE,GEORGE'S FOOD BAR,COURTENAY,FREIGHT
GINASM,GINA'S MEXICAN RESTAURANT,NANAIMO,UPISLAND
GINGBF,GINGER BEEF HOUSE,CAMPBELL RIVER,FREIGHT
GIOVANNI,GIOVANNI'S RISTORANTE,QUALICUM BEACH,FREIGHT
GLACIE,GLACIER VIEW LODGE(CPS) 08107 7308,COURTENAY,FREIGHT
GLADST,GLADSTONE BREWING COMPANY,COURTENAY,FREIGHT
GHCURL,GLEN HARPER CURLING CLUB,DUNCAN,UPISLAND
GLENSH,GLENSHIEL  (THE)  (CPS)  08107  7620,VICTORIA,TOWN
CENPKL,GLENWARREN LODGE (CPS) 08107 7058,VICTORIA,TOWN
GLENWO,GLENWOOD MEATS,VICTORIA,TOWN
SOUBAY,GLO EUROPUB & GRILL,VICTORIA,TOWN
GLOBAL,GLOBAL TOTAL CARE,MILL BAY,UPISLAND
GLORIO,GLORIA O'HARA,SALTSPRING ISLAND,UPISLAND
GLORIAS,GLORIA'S FOOD SERVICE,DUNCAN,UPISLAND
GOHAN,GOHANMEALS,VICTORIA,TOWN
GOLCRG,GOLDEN CARRIAGE,COURTENAY,FREIGHT
GDRAGO,GOLDEN DRAGON RESTAURANT,PORT ALBERNI,FREIGHT
GOLDISL,GOLDEN ISLAND CHINESE RESTAURANT,SALTSPRING ISLAND,UPISLAND
GOODFOR,GOOD FORTUNE RESTAURANT dba,SIDNEY,TOWN
GOODVW,GOODVIEW RESTAURANT,VICTORIA,TOWN
GORGEPP,GORGE POINT PUB dba,VICTORIA,TOWN
GORGEV,GORGE VALE GOLF CLUB,VICTORIA,TOWN
GOURME,"GOURMET SANDWICH COMPANY LTD., THE",VICTORIA,TOWN
GOVERN,GOVERNMENT HOUSE,VICTORIA,TOWN
GRADH,GRAD HOUSE,VICTORIA,TOWN
GRANAD,GRANADA RESTAURANT,POWELL RIVER,FREIGHT
GRANDP,GRANDPAWS TREATS,CAMPBELL RIVER,FREIGHT
GREYWH,GRAY WHALE DELI,UCLUELET,FREIGHT
GRTCDN,GREAT CANADIAN CASINO INC,COQUITLAM,VAN
GREATC,GREAT CANADIAN CASINOS INC.,VICTORIA,TOWN
GREATGR,GREAT GREENS FARM MARKET,DUNCAN,UPISLAND
GREEKON,GREEK ON THE STREET,VICTORIA,TOWN
GREENR,GREENRIDGE PLACE(CPS) 08107 9057,VICTORIA,TOWN
GREENWD,GREENWOODS ELDER (CPS)08107 7323,SALT SPRING ISLAND,UPISLAND
GREGSM,GREG SMITH MEATS,LADYSMITH,UPISLAND
GRIFPU,GRIFFIN PUB,Comox,FREIGHT
GUNTER,GUNTER BROS. MEAT CO.,COURTENAY,FREIGHT
GUS'SB,GUS'S BAR & GRILL,PORT MCNEILL,FREIGHT
HABITAT,HABITAT @ ROYAL ROADS,VICTORIA,TOWN
HAIDAW,HAIDA WAY,CHEMAINUS,UPISLAND
HAMLETS,"HAMLETS AT DUNCAN, THE",SURREY,VAN
HAMPTON,HAMPTON LITTLE LEAGUE,VICTORIA,TOWN
HANKSA,HANKS * A RESTAURANT dba,VICTORIA,TOWN
HAPPY,HAPPY TIMES CAFE dba,NANAIMO,UPISLAND
HARBCATS,HARBOUR CATS dba,VICTORIA,TOWN
HARBOUR,HARBOUR GRILL dba BARFUS ENTERPRISES LTD,CAMPBELL RIVER,FREIGHT
HARBOURH,HARBOUR HOUSE HOTEL dba,SALTSPRING ISLAND,UPISLAND
HASTING,HASTINGS HOUSE,SALTSPRING ISLAND,UPISLAND
HAULTA,HAULTAIN FISH & CHIPS LTD,VICTORIA,TOWN
HAUS,HAUS SAUSAGE CO.,VICTORIA,TOWN
HAWTHO,HAWTHORNE PLACE (SGP)51020,QUALICUM BEACH,FREIGHT
HEART,HEARTWOOD KITCHEN LTD,UCLUELET,FREIGHT
HEAVEN,HEAVENSCENT CATERING,NANAIMO,UPISLAND
HECKLER,HECKLERS BAR & GRILL dba,VICTORIA,TOWN
HELMMK,HELMCKEN MARKET,VICTORIA,TOWN
HENRY,HENRY'S KITCHEN dba,QUALICUM BEACH,FREIGHT
HERIT,HERITAGE INDIAN CUISINE,DUNCAN,UPISLAND
HERITA,HERITAGE PLC FOR SRS(dba)(CPS)08107 7953,SALTSPRING ISLAND,UPISLAND
HERMANNS,HERMANN'S JAZZ CLUB dba,VICTORIA,TOWN
HERONR,HERON ROCK BISTRO,VICTORIA,TOWN
HERTEL,HERTEL MEATS,PORT ALBERNI,FREIGHT
HIGHGA,HIGHGATE LODGE INC.   08107  7243,VICTORIA,TOWN
HIGHW,HIGHWAYMAN SALOON dba,UNION BAY,FREIGHT
CFBCAL,HMCS CALGARY,VICTORIA,TOWN
CFBEDM,HMCS EDMONTON,VICTORIA,TOWN
CFBNAN,HMCS NANAIMO,VICTORIA,TOWN
CFBOTT,HMCS OTTAWA,VICTORIA,TOWN
CFBREG,HMCS REGINA,VICTORIA,TOWN
CFBVAN,HMCS VANCOUVER,VICTORIA,TOWN
CFBVIC,HMCS VICTORIA (MOG 4),VICTORIA,TOWN
CFBWIN,HMCS WINNIPEG,VICTORIA,TOWN
HOMESCAF,"HOMESTEAD CAFE, THE",SIDNEY,TOWN
HOPEKE,HOPE KEY RESTAURANT,VICTORIA,TOWN
HORSHO,HORSESHOE BAY INN,CHEMANIUS,UPISLAND
CLARHO,HOTEL GRAND PACIFIC,VICTORIA,TOWN
HOTELD,HOTEL RIALTO,VICTORIA,TOWN
CASHOR,HOUSE CASH OR CERTIFIED ACCOUNT,,LOOKUP
HOUSEC,HOUSE CASH SALES,,LOOKUP
HOUFUND,HOUSE FUNDRAISERS,,LOOKUP
CASTRO,HOUSE OF BOATENG FOOD INC,VICTORIA,TOWN
HOUSEOFW,HOUSE OF WALLS CULINARY MAGIC,LUND,FREIGHT
HSEPIC,HOUSE PICCOLO,SALT SPRING ISLAND,UPISLAND
HOUSEP,HOUSE PROMO ACCOUNT,,LOOKUP
HOWARD,HOWARD JOHNSON HOTEL & SUITES,VICTORIA,TOWN
HOWLER,HOWLER'S FAMILY KITCHEN dba,UCLUELET,FREIGHT
HUBCIT,HUB CITY FISH,NANAIMO,UPISLAND
HUBSTAFF,HUB CITY FISH - STAFF,NANAIMO,UPISLAND
HUNTING,HUNTINGDON MANOR dba,VICTORIA,TOWN
HYDECR,HYDE CREEK ESSO,PORT MCNEILL,FREIGHT
IBGCAFE,IBG CAFE INC,VICTORIA,TOWN
IDEAL,IDEAL CAFE,CAMPBELL RIVER,FREIGHT
IGUANA,IGUANA'S MEXICAN GRILL,POWELL RIVER,FREIGHT
HWFOOD,IIBG dba CHASE RIVER COUNTRY GROCER,NANAIMO,UPISLAND
ILCOVO,IL COVO TRATTORIA,VICTORIA,TOWN
ILFAL,IL FALCONE (dba),COURTENAY,FREIGHT
ILGREC,IL GRECO,VICTORIA,TOWN
ILTERR,IL TERRAZZO,VICTORIA,TOWN
INDHOU,"INDIAN HOUSE RESTAURANT, THE",DUNCAN,UPISLAND
IRONWO,IRONWOOD PLACE (CPS) 08107  7476,CAMPBELL RIVER,FREIGHT
IRONW,IRONWORKS CAFE & CREPERIE dba,LADYSMITH,UPISLAND
ISLBAG,ISLAND BAGEL dba,DUNCAN,UPISLAND
ISLCUL,ISLAND CULINARY SERVICE,SIDNEY,TOWN
ISLFOOD,ISLAND FOOD BOX dba,DUNCAN,UPISLAND
ISLANDF,ISLAND FOODS 2017 LTD,PORT MCNEIL,FREIGHT
ISHECO,ISLAND HEALTH - COMOX (CPS)08107 9054,COURTENAY,FREIGHT
ISHECR,ISLAND HEALTH -CR HOSP.(CPS)08107 9055,CAMPBELL RIVER,FREIGHT
ISLIND,ISLAND INDEPENDENT BUYING GRP,CHEMAINUS,UPISLAND
ISLPO,ISLAND POKE,VICTORIA,TOWN
ISLSAV,ISLAND SAVINGS,DUNCAN,UPISLAND
ISLVIEW,ISLAND VIEW PLACE CARE dba,VICTORIA,TOWN
EAGNES,ISLAND WEST RESORT,UCLUELET,FREIGHT
ISLWOK,ISLAND WOK,VICTORIA,TOWN
ISLANDER,ISLANDER PIZZA & PASTA,COURTENAY,FREIGHT
ITALIA,ITALIAN BAKERY,VICTORIA,TOWN
JACKS,JACK'S / KUMA SUSHI @ BEAR MOUNTAIN,VICTORIA,TOWN
JAKESA,JAKE'S AT THE LAKE,DUNCAN,UPISLAND
JAMCAF,JAM CAFE,VICTORIA,TOWN
JAMESB,JAMES BAY COMMUNITY SCHOOL SOCIETY,VICTORIA,TOWN
JBFISH,JAMES BAY FISH & CHIPS,VICTORIA,TOWN
JBINN,JAMES BAY INN LTD,VICTORIA,TOWN
JAMIE,JAMIE'S RAINFOREST INN dba,TOFINO,FREIGHT
JAPANV,JAPANESE VILLAGE RESTAURANT,VICTORIA,TOWN
JASMIN,JASMINE RESTAURANT  dba,VICTORIA,TOWN
JENNYS,JENNY'S OLDE COUNTRY FARE,SOOKE,TOWN
BARNACLE,JERRY YU HAI LEE o/a,LADYSMITH,UPISLAND
JESKEN,JESKEN AEIRE(SGP) 51127,VICTORIA,TOWN
JICKL,JICKLINGS AUTOMOTIVE SERVICE dba,COBBLE HILL,UPISLAND
JIGFCC,JIGGER'S,UCLUELET,FREIGHT
JIGGER,JIGGERS GRILL,CAMPBELL RIVER,FREIGHT
JJMORG,JJ MORGAN'S RESTAURANT,VICTORIA,TOWN
JKSLOC,JKS LOCAL MEAT CAVE LTD,CAMPBELL RIVER,FREIGHT
JOHNBA,JOHN BARSBY COMMUNITY SCHOOL,NANAIMO,UPISLAND
JOHNPL,JOHN'S PLACE,VICTORIA,TOWN
JOIEGR,JOIE GRILLADES dba,VICTORIA,TOWN
JOLLYG,JOLLY GIANT CHILDCARE  LTD.,NANAIMO,UPISLAND
JUDYSSN,JUDY'S SNACK SHACK,VICTORIA,TOWN
JUPITE,JUPITER JUICE BAR,TOFINO,FREIGHT
JUSTJA,JUST JAKE'S,DUNCAN,UPISLAND
JUSTRAW,JUST RAW PET FOODS,COURTENAY,FREIGHT
KALVRE,KALVAS RESTAURANT dba,PARKSVILLE,UPISLAND
KEATING,KEATING COFFEE dba,VICTORIA,TOWN
KELLYS,KELLY'S KITCHEN CAFE,NANAIMO,UPISLAND
KIMWAR,KIM WAH RESTAURANT,DUNCAN,UPISLAND
KIMOTO,KIMOTO KAFEE AND ASSOCIATES,TOFINO,FREIGHT
KINGFS,KINGFISHER OCEANSIDE RESORT,COURTENAY,FREIGHT
KITDIST,KITCHENS OF DISTINCTION dba,VICTORIA,TOWN
KNIGHT,KNIGHTS OF COLUMBUS #7934,VICTORIA,TOWN
KOTOCR,KOTO CAMPBELL RIVER JAPANESE,Campbell River,FREIGHT
KOTOJ,KOTO JAPANESE RESTAURANT 2012,VICTORIA,TOWN
KUKU,KUKUS TAKE OUT & DEL  dba,VICTORIA,TOWN
KUMATO,KUMA TOFINO dba,TOFINO,FREIGHT
KYALSIN,KYAL SIN SUSHI INC.,VICTORIA,TOWN
LAMEX,LA MEXICAINE,DUNCAN,UPISLAND
LASTEL,LA STELLA TRATTORIA,NANAIMO,UPISLAND
LADIEAU,LADIES AUXILIARY BRANCH #49 PARKSVILLE,PARKSVILLE,UPISLAND
LADYMI,LADY MINTO HOSPITAL(CPS) 081077347,SALTSPRING,UPISLAND
LADYSC,LADYSMITH SECONDARY CAFETERIA,LADYSMITH,UPISLAND
LAILA,LAILA LAILA RESTAURANT dba,VICTORIA,TOWN
LCDRY,LAKE COWICHAN DRY GRAD 2019,LAKE COWICHAN,UPISLAND
LANDSE,LAND & SEA BREWING COMPANY LTD,COMOX,FREIGHT
LANDLU,LANDLUBBER PUB,NANAIMO,UPISLAND
LANGFL,LANGFORD LANES BOWLING ALLEY INC,VICTORIA,TOWN
SALTFIS,LANNER BAY FOOD INC.,SALTSPRING ISLAND,UPISLAND
LATAS,LATA'S KITCHEN,PORT McNEILL,FREIGHT
LAUGHI,LAUGHING OYSTER dba,POWELL RIVER,FREIGHT
LAUREL,LAUREL POINT INN,VICTORIA,TOWN
LEECAS,LEE GERMAN CASH SALES,,LOOKUP
LEEPRO,LEE GERMAN PROMO ACCOUNT,,LOOKUP
LEESCR,LEE'S CHICKEN - CAMPBELL RIVER,DUNCAN,UPISLAND
LEESDUN,LEE'S CHICKEN - DUNCAN,DUNCAN,UPISLAND
LEESNAN,LEE'S CHICKEN - NANAIMO,DUNCAN,UPISLAND
LEGION,LEGION MANOR(CPS)08107 7389,VICTORIA,TOWN
LEGISL,LEGISLATIVE DINING ROOM,VICTORIA,TOWN
LEPET,LEPETIT SAIGON,VICTORIA,TOWN
LESCASH,LESLEY SPENCER CASH SALES,,LOOKUP
LESFUND,LESLEY SPENCER FUNDRAISERS,,LOOKUP
LESPROMO,LESLEY SPENCER PROMO ACCOUNT,,LOOKUP
LIDOW,LIDO WATERFRON BAR & BISTRO dba,VICTORIA,TOWN
LIGHT,"LIGHTHOUSE BISTRO, THE LTD",NANAIMO,UPISLAND
LRBBBQ,LIL' RONNIE'S BEACHSIDE BBQ dba,TOFINO,FREIGHT
LIONRA,"LION RAMPANT SCOTTISH PUB,THE(dba)",DUNCAN,UPISLAND
LISET,LISETTE'S KROKETS,DUNCAN,UPISLAND
LITBAV,LITTLE BAVARIA RESTAURANT,PORT ALBERNI,FREIGHT
LITSAN,"LITTLE CORNER SANDWICH SHOP, THE",DUNCAN,UPISLAND
LITTLE,LITTLE GEORGE'S (BRUCE AVE),NANAIMO,UPISLAND
LITGEO,LITTLE GEORGE'S (METRAL/NORTH),NANAIMO,UPISLAND
LITHUT,LITTLE HUT CURRY,POWELL RIVER,FREIGHT
LITTLETH,LITTLE THAI PLACE,VICTORIA,TOWN
LTOKYO,LITTLE TOKYO,VICTORIA,TOWN
LTOWN,LITTLE TOWN PIZZA LTD,CHEMAINUS,UPISLAND
LIVEWI,LIVEWIRE CATERING,NANAIMO,UPISLAND
LOCALS,LOCALS-FOOD FROM THE HEART OF THE ISLAND,COURTENAY,FREIGHT
LOFTPUB,"LOFT PUB, THE",VICTORIA,TOWN
LHOUSE,LOGHOUSE PUB dba,VICTORIA,TOWN
LONGBLR,LONG BEACH LODGE RESORT,TOFINO,FREIGHT
LONGLK,LONGLAKE CHATEAU (CPS) 08107 7955,NANAIMO,UPISLAND
LOWSGA,LOW'S GARDEN RESTAURANT,DUNCAN,UPISLAND
LUNCH,"LUNCH BOX, THE",N SAANICH,TOWN
LUTHER,LUTHER COURT(CPS) 08107 7279,VICTORIA,TOWN
M&YRES,M & Y RESTAURANT,PORT MCNEILL,FREIGHT
M'AKOLA,M'AKOLA ILBC HOUSING SOC.(SGP) 51128 dba,VICTORIA,TOWN
MAMIL,MA MILLER'S PUB dba,VICTORIA,TOWN
MADDOG,MAD DOG CRABS,DUNCAN,UPISLAND
MAIMAI,MAI-MAI BISTRO dba,VICTORIA,TOWN
MALAHAT,MALAHAT CHALET dba,MALAHAT,UPISLAND
MALLIO,MALAHAT LIONS CLUB,COBBLE HILL,UPISLAND
MANGO,MANGO THAI INC,VICTORIA,TOWN
MANTRA,"MANTRA INDIAN CUISINE, THE dba",VICTORIA,TOWN
MAPLEL,MAPLE LANE CAFE & CATERING,CHEMAINUS,UPISLAND
MARBLE,MARBLE ARCH RESTAURANT,VICTORIA,TOWN
MARMIL,MARKET ON MILLSTREAM,VICTORIA,TOWN
THEMAR,MARKET ON YATES,VICTORIA,TOWN
MARKET,MARKET ST. CAFE,PORT HARDY,FREIGHT
MARTIN,MARTINE'S BISTRO,COMOX,FREIGHT
MBLEUE,MARY'S BLEUE MOON dba,VICTORIA,TOWN
MASHEA,MASTHEAD RESTAURANT,COWICHAN BAY,UPISLAND
MATTCASH,MATTHEW'S CASH SALE,,LOOKUP
MATTPRO,MATTHEW'S PROMO ACCOUNT,,LOOKUP
MAXIMU,MAXIMUM SEAFOODS,VAUGHAN,N/A
MAY'SA,MAY'S ASIAN CUISINE,DUNCAN,UPISLAND
MAYFROZ,MAYFLOWER FROZEN FOODS LTD dba,SAANICHTON,TOWN
MCGIRR,MCGIRR SPORTS FIELD,NANAIMO,UPISLAND
MCLEANS,McLEAN'S SPECIALTY FOODS,NANAIMO,UPISLAND
MCRAE,MCRAES BISTRO,VICTORIA,TOWN
MEATCR,MEAT CRAFT ISLAND BUTCHERY INC,NANAIMO,UPISLAND
VILROY,MED GRILL RESTAURANT,VICTORIA,TOWN
MEDRARE,MEDIUM RARE dba,NANAIMO,UPISLAND
MELIND,MELINDAS BISCOTTI COMPANY,SIDNEY,TOWN
MERCROFT,MERCROFT CONSTRUCTION,LANTZVILLE,UPISLAND
MERRID,MERRIDALE CIDERWORKS CORP,COBBLE HILL,UPISLAND
MESAFAM,MESA FAMILIAR dba,VICTORIA,TOWN
METGOLF,METCHOSIN GOLF & COUNTRY CLUB dba,VICTORIA,TOWN
MGMRES,MGM RESTAURANT,NANAIMO,UPISLAND
MICHA,MICHAEL'S OFF MAIN BREAKFAST LUNCH,COURTENAY,FREIGHT
MICHEAL,MICHEAL MINO CATERING,VICTORIA,TOWN
MIKES,MIKE'S CAFE,CROFTON,UPISLAND
MCAFE,MIKONOS CAFE,PORT HARDY,FREIGHT
ROMEON,MILANO'S RISTORANTE,NANAIMO,UPISLAND
MILTON,MILTON STREET PUBLIC HOUSE,NANAIMO,UPISLAND
MINATO,MINATO JAPANESE RESTAURANT,POWELL RIVER,FREIGHT
MINTREST,MINT RESTAURANT,VICTORIA,TOWN
MINTON,MINTON HOUSE (CPS) 8107 9199,VICTORIA,TOWN
MITBRO,MITCHELL BROTHERS dba,POWELL RIVER,FREIGHT
MOBY'S,MOBY'S PUB,SALT SPRING ISLAND,UPISLAND
MODCAF,"MODERN CAFE, THE  dba",NANAIMO,UPISLAND
MODCLEA,MODERN CLEANING CONCEPT,VICTORIA,TOWN
MONKEY,MONKEY TREE PUB,VICTORIA,TOWN
MOONLI,MOONLIGHT CATERING,VICTORIA,TOWN
MOOSEN,MOOSE N' EDDIES,POWELL RIVER,FREIGHT
MOTHER,MOTHER NATURES MARKET AND DELI,VICTORIA,TOWN
MOUNTD,MOUNT DOUGLAS MARKET,VICTORIA,TOWN
MRBAGEL,MOUNT ROYAL BAGEL FACTORY LTD,VICTORIA,TOWN
MOUNTM,MOUNT ST. MARY HOSP.(CPS) 08107 7280,VICTORIA,TOWN
MRTUBS,MR. TUBBS STATION,VICTORIA,TOWN
MRTUBE,MR. TUBE STEAK dba,VICTORIA,TOWN
MTBRE,MT BRENTON RESTAURANT $ LOUNGE dba,DUNCAN,UPISLAND
MTCAIN,MT. CAIN CAFE,PORT MCNEILL,FREIGHT
MULTIN,MULTINATIONAL FOODS,"CALGARY,",N/A
MYCHOS,MY CHOSEN CAFE,VICTORIA,TOWN
MYCHPZ,MY CHOSEN PIZZA,VICTORIA,TOWN
GENERA,NANAIMO AFFORD. HSG SOC.(CPS)08107 7952,NANAIMO,UPISLAND
NDSS,NANAIMO DISTRICT SECONDARY SCHOOL,NANAIMO,UPISLAND
NANFAM,NANAIMO FAMILY RESOURCE PROGRAMS,LANTZVILLE,UPISLAND
NANGEN,NANAIMO GENERAL HOSP.(CPS) 08107 7332,NANAIMO,UPISLAND
NANSENI,NANAIMO SENIORS VILLAGE(SGP)#51280,NANAIMO,UPISLAND
NANTOM,NANAIMO TOMO SUSHI LTD,NANAIMO,UPISLAND
NAUGHT,NAUGHTY NELLIE'S NOT JUST FISH & CHIPS,VICTORIA,TOWN
NAUNEL,NAUTICAL NELLIES RESTAURANT,VICTORIA,TOWN
NESVOG,NESVOG MEATS & SAUSAGE COMPANY LTD.,NANAIMO,UPISLAND
NHATRA,NHA TRANG RESTAURANT,DUNCAN,UPISLAND
NIGEL,NIGEL - SERV. FOR ADULTS(CPS) 08107 7586,VICTORIA,TOWN
NOHRA,NOHRA THAI KITCHEN,VICTORIA,TOWN
NTKAMR,NOOTKA MARINE ADVENTURES LTD.,RADIUM HOT SPRINGS,N/A
NORGAR,NORGARDEN  (CPS)  08107  7854,SIDNEY,TOWN
NORIJA,NORI JAPANESE RESTAURANT,NANAIMO,UPISLAND
NORTHI,NORTH ISLAND COLLEGE,COURTENAY,FREIGHT
NIGUID,NORTH ISLAND GUIDE OUTFITTERS LTD.,CAMPBELL RIVER,FREIGHT
NORTHERN,NORTHERN LIGHTS RESTAURANT dba,PORT McNEILL,FREIGHT
NOURISHC,NOURISH COWICHAN SOCIETY,DUNCAN,UPISLAND
NOWHERE,NOWHERE A RESTAURANT,VICTORIA,TOWN
NYPIZZ,NY PIZZERIA (NANAIMO),NANAIMO,UPISLAND
OAKBYB,OAK BAY BEACH HOTEL dba,VICTORIA,TOWN
OAKKIW,OAK BAY KIWANIS PAV.(CPS) 08107 7248,VICTORIA,TOWN
OAKLOD,OAK BAY LODGE      08107   7249,VICTORIA,TOWN
OAKBMA,OAK BAY MARINA RESTAURANT,VICTORIA,TOWN
OBRECC,OAK BAY REC CENTRE,VICTORIA,TOWN
OBTEAP,OAK BAY TEA PARTY,VICTORIA,TOWN
OAKSRE,OAKS RESTAURANT & GRILL,N. SAANICH,TOWN
OCCHOT,OCCIDENTAL HOTEL,NANAIMO,UPISLAND
OLDCOM,OLD COUNTRY MARKET (DELI),COOMBS,FREIGHT
OLDCOU,OLD COURTHOUSE INN,POWELL RIVER,FREIGHT
OLDFARM,OLD FARM MARKET,KOKSILAH,UPISLAND
OFMCADBO,"OLD FARM MARKET CADBORO BAY, THE dba",VICTORIA,TOWN
OFWINE,OLD FIREHOUSE WINE & COCKTAIL BAR dba,DUNCAN,UPISLAND
OLDESC,OLD SCHOOL COFFEE CO.,COBBLE HILL,UPISLAND
OLYMPC,OLYMPIC VIEW GOLF CLUB,VICTORIA,TOWN
OMAKA,OMAKASE,VICTORIA,TOWN
OMJA,OMJA CATERING,SALTSPRING ISLAND,UPISLAND
SGPGORGE,ON THE GORGE (SGP) 51323,VICTORIA,TOWN
ORIGLO,ORIGIN AT LONGWOOD   (CPS)  08107  7426,NANAIMO,UPISLAND
OSHOTEL,"OSWEGO HOTEL, THE dba",VICTORIA,TOWN
OTTAV,OTTAVIO ITALIAN BAKERY AND DELI DBA,VICTORIA,TOWN
OX,OX dba,CAMPBELL RIVER,FREIGHT
OXFORF,OXFORD FOODS,VICTORIA,TOWN
PACBRIMM,PACIFIC BRIMM CAFE & CATERING dba,PARKSVILLE,UPISLAND
PACCHR,PACIFIC CHRISTIAN SCHOOL,VICTORIA,TOWN
PPOINT,PACIFIC POINT MARKET,POWELL RIVER,FREIGHT
PACOS,PACO'S TACOS SSI,SALTSPRING ISLAND,UPISLAND
PAI,PAI dba,TOFINO,FREIGHT
PAINTERS,PAINTER'S LODGE dba,CAMPBELL RIVER,FREIGHT
PALAG,PALAGIOS PIZZA dba,VICTORIA,TOWN
PAPAS,PAPA'S BURGERS - PARKSVILLE,PARKSVILLE,UPISLAND
PAPA,PAPA'S TAKE OUT dba,CORTEZ,FREIGHT
PARKAT,"PARK @ CROWN ISLE, THE dba",COMOX,FREIGHT
PASTAFR,PASTA FRESCA dba,SALTSPRING ISLAND,UPISLAND
PEARL,PEARLMARK FOODS INC.,MONTREAL,N/A
PEARSO,PEARSON COLLEGE  (AC) #3858,VICTORIA,TOWN
PEGASUS,PEGASUS RESTAURANT LTD dba,DUNCAN,UPISLAND
PENGUI,PENGUIN MEAT SUPPLY LTD.,WHITE ROCK,VAN
PENNYS,PENNY'S PANTRY dba,SALT SPRING ISLAND,UPISLAND
PEPPRM,PEPPER'S MARKET,VICTORIA,TOWN
PERKEB,PERSIAN KEBOB,VICTORIA,TOWN
PERSIM,PERSIMMON TREE dba,VICTORIA,TOWN
PETE'S,PETE'S MOUNTAIN MEATS & DELI,PORT ALBERNI,FREIGHT
PHADTH,PHAD THAI RESTAURANT,DUNCAN,UPISLAND
GLENGG,PHEASANT GLEN GOLF RESORT,QUALICUM BEACH,FREIGHT
PHOVO,PHO VUONG HOLDINGS LTD,DUNCAN,UPISLAND
PHORES,PHO VUONG RESTAURANT,VICTORIA,TOWN
PHOVYR,PHO VY RESTAURANT,VICTORIA,TOWN
PHOVLANG,PHO VY VIETNAMESE (LANGFORD),VICTORIA,TOWN
PHO-EV,PHO-EVER RESTAURANT dba,VICTORIA,TOWN
PHOENI,PHOENIX (THE),LADYSMITH,UPISLAND
PHOEBAR,PHOENIX BAR AND GRILL LTD.,VICTORIA,TOWN
PHONOM,PHONOMENAL,VICTORIA,TOWN
PICKLES,PICKLES' PANTRY,COBBLE HILL,UPISLAND
PICKUP,PICKUP PRODUCT,,LOOKUP
PICNIC,PICNIC CHARCUTERIE,TOFINO,FREIGHT
PBBQ,PIG BBQ,COWICHAN BAY,UPISLAND
PINKBI,"PINK BICYCLE GOURMET BURGER JOINT, THE",VICTORIA,TOWN
PIONEE,PIONEER HOUSE RESTUARANT LTD,DUNCAN,UPISLAND
PIZZAG,PIZZA GUERRILLA dba,COURTENAY,FREIGHT
PIZAPLUS,PIZZA PLUS dba,SIDNEY,TOWN
PLATES,PLATES EATERY & CATERING CO. LTD.,COURTENAY,FREIGHT
PLUTOS,PLUTOS,VICTORIA,TOWN
POINTN,POINT NO POINT,SOOKE,TOWN
POINTR,POINT RESTAURANT @ WICKANINNISH INN,TOFINO,FREIGHT
POKEFR,POKE FRESH dba,VICTORIA,TOWN
POPSEY,POPSEY RESTAURANT,CAMPBELL RIVER,FREIGHT
PAPIZZA,PORT ALBERNI PIZZA FACTORY dba,PORT ALBERNI,FREIGHT
PORTHA,PORT HARDY HOSP. (CPS) 08107 7345,PORT HARDY,FREIGHT
PORTP,PORT PUB/ CJ'S PLACE,PORT ALBERNI,FREIGHT
